instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,registered,cnt
38,1/2/11,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,55,59
39,1/2/11,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,55,74
40,1/2/11,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,67,76
41,1/2/11,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,58,65
42,1/2/11,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,43,53
43,1/2/11,1,0,1,19,0,0,0,1,0.32,0.2879,0.42,0.4478,29,30
44,1/2/11,1,0,1,20,0,0,0,1,0.3,0.2727,0.39,0.3582,17,22
45,1/2/11,1,0,1,21,0,0,0,1,0.26,0.2273,0.44,0.3284,20,31
46,1/2/11,1,0,1,22,0,0,0,1,0.24,0.2121,0.44,0.2985,9,9
47,1/2/11,1,0,1,23,0,0,0,1,0.22,0.2273,0.47,0.1642,8,8
48,1/3/11,1,0,1,0,0,1,1,1,0.22,0.197,0.44,0.3582,5,5
49,1/3/11,1,0,1,1,0,1,1,1,0.2,0.1667,0.44,0.4179,2,2
50,1/3/11,1,0,1,4,0,1,1,1,0.16,0.1364,0.47,0.3881,1,1
51,1/3/11,1,0,1,5,0,1,1,1,0.16,0.1364,0.47,0.2836,3,3
52,1/3/11,1,0,1,6,0,1,1,1,0.14,0.1061,0.5,0.3881,30,30
53,1/3/11,1,0,1,7,0,1,1,1,0.14,0.1364,0.5,0.194,63,64
54,1/3/11,1,0,1,8,0,1,1,1,0.14,0.1212,0.5,0.2836,153,154
55,1/3/11,1,0,1,9,0,1,1,1,0.16,0.1364,0.43,0.3881,81,88
56,1/3/11,1,0,1,10,0,1,1,1,0.18,0.1667,0.43,0.2537,33,44
57,1/3/11,1,0,1,11,0,1,1,1,0.2,0.1818,0.4,0.3284,41,51
58,1/3/11,1,0,1,12,0,1,1,1,0.22,0.2121,0.35,0.2985,48,61
59,1/3/11,1,0,1,13,0,1,1,1,0.24,0.2121,0.35,0.2836,53,61
60,1/3/11,1,0,1,14,0,1,1,1,0.26,0.2424,0.3,0.2836,66,77
61,1/3/11,1,0,1,15,0,1,1,1,0.26,0.2424,0.3,0.2537,58,72
62,1/3/11,1,0,1,16,0,1,1,1,0.26,0.2424,0.3,0.2537,67,76
63,1/3/11,1,0,1,17,0,1,1,1,0.24,0.2273,0.3,0.2239,146,157
64,1/3/11,1,0,1,18,0,1,1,1,0.24,0.2576,0.32,0.1045,148,157
65,1/3/11,1,0,1,19,0,1,1,1,0.2,0.2576,0.47,0,102,110
66,1/3/11,1,0,1,20,0,1,1,1,0.2,0.2273,0.47,0.1045,49,52
67,1/3/11,1,0,1,21,0,1,1,1,0.18,0.197,0.64,0.1343,49,52
68,1/3/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.69,0.1343,20,20
69,1/3/11,1,0,1,23,0,1,1,1,0.18,0.2121,0.55,0.1045,11,12
70,1/4/11,1,0,1,0,0,2,1,1,0.16,0.1818,0.55,0.1045,5,5
71,1/4/11,1,0,1,1,0,2,1,1,0.16,0.1818,0.59,0.1045,2,2
72,1/4/11,1,0,1,2,0,2,1,1,0.14,0.1515,0.63,0.1343,1,1
73,1/4/11,1,0,1,4,0,2,1,1,0.14,0.1818,0.63,0.0896,2,2
74,1/4/11,1,0,1,5,0,2,1,1,0.12,0.1515,0.68,0.1045,4,4
75,1/4/11,1,0,1,6,0,2,1,1,0.12,0.1515,0.74,0.1045,36,36
76,1/4/11,1,0,1,7,0,2,1,1,0.12,0.1515,0.74,0.1343,92,94
77,1/4/11,1,0,1,8,0,2,1,1,0.14,0.1515,0.69,0.1642,177,179
78,1/4/11,1,0,1,9,0,2,1,1,0.16,0.1515,0.64,0.2239,98,100
79,1/4/11,1,0,1,10,0,2,1,2,0.16,0.1364,0.69,0.3284,37,42
80,1/4/11,1,0,1,11,0,2,1,1,0.22,0.2121,0.51,0.2985,50,57
81,1/4/11,1,0,1,12,0,2,1,1,0.22,0.2273,0.51,0.1642,66,78
82,1/4/11,1,0,1,13,0,2,1,1,0.24,0.2273,0.56,0.194,79,97
83,1/4/11,1,0,1,14,0,2,1,1,0.26,0.2576,0.52,0.2239,54,63
84,1/4/11,1,0,1,15,0,2,1,1,0.28,0.2727,0.52,0.2537,48,65
85,1/4/11,1,0,1,16,0,2,1,1,0.3,0.2879,0.49,0.2537,68,83
86,1/4/11,1,0,1,17,0,2,1,1,0.28,0.2727,0.48,0.2239,202,212
87,1/4/11,1,0,1,18,0,2,1,1,0.26,0.2576,0.48,0.194,179,182
88,1/4/11,1,0,1,19,0,2,1,1,0.24,0.2576,0.48,0.1045,110,112
89,1/4/11,1,0,1,20,0,2,1,1,0.24,0.2576,0.48,0.1045,53,54
90,1/4/11,1,0,1,21,0,2,1,1,0.22,0.2727,0.64,0,48,48
91,1/4/11,1,0,1,22,0,2,1,1,0.22,0.2576,0.64,0.0896,34,35
92,1/4/11,1,0,1,23,0,2,1,1,0.2,0.2273,0.69,0.0896,9,11
93,1/5/11,1,0,1,0,0,3,1,1,0.2,0.2576,0.64,0,6,6
94,1/5/11,1,0,1,1,0,3,1,1,0.16,0.197,0.74,0.0896,6,6
95,1/5/11,1,0,1,2,0,3,1,1,0.16,0.197,0.74,0.0896,2,2
96,1/5/11,1,0,1,4,0,3,1,1,0.24,0.2273,0.48,0.2239,2,2
97,1/5/11,1,0,1,5,0,3,1,1,0.22,0.2273,0.47,0.1642,3,3
98,1/5/11,1,0,1,6,0,3,1,1,0.2,0.197,0.47,0.2239,33,33
99,1/5/11,1,0,1,7,0,3,1,1,0.18,0.1818,0.43,0.194,87,88
100,1/5/11,1,0,1,8,0,3,1,1,0.2,0.1818,0.4,0.2985,192,195
101,1/5/11,1,0,1,9,0,3,1,1,0.22,0.197,0.37,0.3284,109,115
102,1/5/11,1,0,1,10,0,3,1,1,0.22,0.197,0.37,0.3284,53,57
103,1/5/11,1,0,1,11,0,3,1,1,0.26,0.2273,0.33,0.3284,34,46
104,1/5/11,1,0,1,12,0,3,1,1,0.26,0.2273,0.33,0.3284,74,79
105,1/5/11,1,0,1,13,0,3,1,1,0.28,0.2576,0.3,0.2985,65,71
106,1/5/11,1,0,1,14,0,3,1,1,0.3,0.2879,0.28,0.194,52,62
107,1/5/11,1,0,1,15,0,3,1,1,0.3,0.2879,0.28,0.194,55,62
108,1/5/11,1,0,1,16,0,3,1,1,0.3,0.3182,0.28,0.0896,85,89
109,1/5/11,1,0,1,17,0,3,1,1,0.24,0.2273,0.38,0.194,186,190
110,1/5/11,1,0,1,18,0,3,1,1,0.24,0.2424,0.38,0.1343,166,169
111,1/5/11,1,0,1,19,0,3,1,1,0.24,0.2576,0.38,0.1045,127,132
112,1/5/11,1,0,1,20,0,3,1,1,0.22,0.2273,0.47,0.1642,82,89
113,1/5/11,1,0,1,21,0,3,1,1,0.2,0.197,0.51,0.194,40,43
114,1/5/11,1,0,1,22,0,3,1,1,0.18,0.197,0.55,0.1343,41,42
115,1/5/11,1,0,1,23,0,3,1,1,0.2,0.2576,0.47,0,18,19
116,1/6/11,1,0,1,0,0,4,1,1,0.18,0.2424,0.55,0,11,11
117,1/6/11,1,0,1,1,0,4,1,1,0.16,0.2273,0.64,0,4,4
118,1/6/11,1,0,1,2,0,4,1,1,0.16,0.2273,0.64,0,2,2
119,1/6/11,1,0,1,4,0,4,1,2,0.16,0.197,0.64,0.0896,1,1
120,1/6/11,1,0,1,5,0,4,1,2,0.14,0.1818,0.69,0.0896,4,4
121,1/6/11,1,0,1,6,0,4,1,2,0.14,0.1667,0.63,0.1045,36,36
122,1/6/11,1,0,1,7,0,4,1,2,0.16,0.2273,0.59,0,95,95
123,1/6/11,1,0,1,8,0,4,1,1,0.16,0.2273,0.59,0,216,219
124,1/6/11,1,0,1,9,0,4,1,2,0.18,0.2424,0.51,0,116,122
125,1/6/11,1,0,1,10,0,4,1,1,0.2,0.2576,0.47,0,42,45
126,1/6/11,1,0,1,11,0,4,1,1,0.22,0.2576,0.44,0.0896,57,59
127,1/6/11,1,0,1,12,0,4,1,1,0.26,0.2879,0.35,0,78,84
128,1/6/11,1,0,1,13,0,4,1,1,0.26,0.2727,0.35,0.1045,55,67
129,1/6/11,1,0,1,14,0,4,1,1,0.28,0.2727,0.36,0.1642,59,70
130,1/6/11,1,0,1,15,0,4,1,1,0.28,0.2727,0.36,0,54,62
131,1/6/11,1,0,1,16,0,4,1,1,0.26,0.2576,0.38,0.1642,74,86
132,1/6/11,1,0,1,17,0,4,1,1,0.22,0.2273,0.51,0.1642,163,172
133,1/6/11,1,0,1,18,0,4,1,1,0.22,0.2273,0.51,0.1343,158,163
134,1/6/11,1,0,1,19,0,4,1,1,0.22,0.2576,0.55,0.0896,109,112
135,1/6/11,1,0,1,20,0,4,1,1,0.2,0.2121,0.51,0.1642,66,69
136,1/6/11,1,0,1,21,0,4,1,2,0.22,0.2121,0.55,0.2239,48,48
137,1/6/11,1,0,1,22,0,4,1,2,0.22,0.2121,0.51,0.2836,51,52
138,1/6/11,1,0,1,23,0,4,1,2,0.2,0.197,0.59,0.194,19,23
139,1/7/11,1,0,1,0,0,5,1,2,0.2,0.197,0.64,0.194,13,17
140,1/7/11,1,0,1,1,0,5,1,2,0.2,0.197,0.69,0.2239,5,7
141,1/7/11,1,0,1,2,0,5,1,2,0.2,0.197,0.69,0.2239,1,1
142,1/7/11,1,0,1,4,0,5,1,2,0.2,0.2121,0.69,0.1343,1,1
143,1/7/11,1,0,1,5,0,5,1,3,0.22,0.2727,0.55,0,5,5
144,1/7/11,1,0,1,6,0,5,1,2,0.2,0.2576,0.69,0,26,34
145,1/7/11,1,0,1,7,0,5,1,1,0.2,0.2121,0.69,0.1343,76,84
146,1/7/11,1,0,1,8,0,5,1,1,0.2,0.197,0.51,0.2537,190,210
147,1/7/11,1,0,1,9,0,5,1,1,0.2,0.1818,0.47,0.2985,125,134
148,1/7/11,1,0,1,10,0,5,1,1,0.22,0.197,0.37,0.3284,47,63
149,1/7/11,1,0,1,11,0,5,1,2,0.2,0.197,0.4,0.2239,48,67
150,1/7/11,1,0,1,12,0,5,1,2,0.2,0.197,0.37,0.2537,50,59
151,1/7/11,1,0,1,13,0,5,1,2,0.2,0.1818,0.37,0.2836,64,73
152,1/7/11,1,0,1,14,0,5,1,2,0.2,0.197,0.4,0.2537,43,50
153,1/7/11,1,0,1,15,0,5,1,2,0.2,0.2121,0.37,0.1642,63,72
154,1/7/11,1,0,1,16,0,5,1,2,0.2,0.2121,0.37,0.1642,82,87
155,1/7/11,1,0,1,17,0,5,1,2,0.2,0.2576,0.37,0,178,187
156,1/7/11,1,0,1,18,0,5,1,1,0.2,0.2273,0.4,0.0896,116,123
157,1/7/11,1,0,1,19,0,5,1,1,0.16,0.197,0.55,0.0896,92,95
158,1/7/11,1,0,1,20,0,5,1,1,0.18,0.2121,0.47,0.1045,50,51
159,1/7/11,1,0,1,21,0,5,1,1,0.18,0.197,0.47,0.1343,39,39
160,1/7/11,1,0,1,22,0,5,1,2,0.18,0.197,0.43,0.1642,34,36
161,1/7/11,1,0,1,23,0,5,1,2,0.18,0.197,0.51,0.1642,14,15
162,1/8/11,1,0,1,0,0,6,0,2,0.18,0.197,0.51,0.1642,24,25
163,1/8/11,1,0,1,1,0,6,0,2,0.18,0.2121,0.55,0.0896,15,16
164,1/8/11,1,0,1,2,0,6,0,2,0.18,0.2424,0.55,0,13,16
165,1/8/11,1,0,1,3,0,6,0,3,0.18,0.197,0.55,0.1642,7,7
166,1/8/11,1,0,1,4,0,6,0,3,0.18,0.197,0.55,0.1642,1,1
167,1/8/11,1,0,1,5,0,6,0,2,0.16,0.1667,0.74,0.1642,5,5
168,1/8/11,1,0,1,6,0,6,0,2,0.16,0.1667,0.74,0.1642,2,2
169,1/8/11,1,0,1,7,0,6,0,2,0.16,0.1818,0.74,0.1045,8,9
170,1/8/11,1,0,1,8,0,6,0,3,0.16,0.1818,0.93,0.1045,15,15
171,1/8/11,1,0,1,9,0,6,0,3,0.16,0.1818,0.93,0.1045,20,20
172,1/8/11,1,0,1,10,0,6,0,2,0.18,0.197,0.8,0.1642,56,61
173,1/8/11,1,0,1,11,0,6,0,2,0.2,0.1818,0.69,0.3881,60,62
174,1/8/11,1,0,1,12,0,6,0,2,0.2,0.1818,0.59,0.3582,90,98
175,1/8/11,1,0,1,13,0,6,0,1,0.2,0.1818,0.44,0.3284,95,102
176,1/8/11,1,0,1,14,0,6,0,1,0.2,0.1667,0.32,0.4925,83,95
177,1/8/11,1,0,1,15,0,6,0,1,0.2,0.1667,0.32,0.4478,69,74
178,1/8/11,1,0,1,16,0,6,0,1,0.18,0.1364,0.29,0.4478,68,76
179,1/8/11,1,0,1,17,0,6,0,1,0.16,0.1212,0.37,0.5522,64,69
180,1/8/11,1,0,1,18,0,6,0,1,0.14,0.1212,0.39,0.2985,52,55
181,1/8/11,1,0,1,19,0,6,0,1,0.14,0.1212,0.36,0.2537,26,30
182,1/8/11,1,0,1,20,0,6,0,1,0.12,0.1212,0.36,0.2537,28,28
183,1/8/11,1,0,1,21,0,6,0,1,0.12,0.1061,0.39,0.3582,35,37
184,1/8/11,1,0,1,22,0,6,0,1,0.12,0.1061,0.36,0.3881,33,34
185,1/8/11,1,0,1,23,0,6,0,1,0.1,0.0606,0.39,0.4478,22,22
186,1/9/11,1,0,1,0,0,0,0,1,0.1,0.0758,0.42,0.3881,24,25
187,1/9/11,1,0,1,1,0,0,0,1,0.1,0.0606,0.42,0.4627,12,12
188,1/9/11,1,0,1,2,0,0,0,1,0.1,0.0606,0.46,0.4627,11,11
189,1/9/11,1,0,1,3,0,0,0,1,0.1,0.0758,0.46,0.4179,4,4
190,1/9/11,1,0,1,4,0,0,0,1,0.08,0.0909,0.53,0.194,1,1
191,1/9/11,1,0,1,5,0,0,0,1,0.08,0.0909,0.53,0.194,1,1
192,1/9/11,1,0,1,6,0,0,0,1,0.1,0.0909,0.49,0.2836,1,1
193,1/9/11,1,0,1,7,0,0,0,1,0.08,0.0909,0.53,0.194,5,6
194,1/9/11,1,0,1,8,0,0,0,1,0.1,0.0909,0.49,0.2836,10,10
195,1/9/11,1,0,1,9,0,0,0,1,0.12,0.0758,0.46,0.5224,19,19
196,1/9/11,1,0,1,10,0,0,0,1,0.14,0.1061,0.43,0.3881,49,49
197,1/9/11,1,0,1,11,0,0,0,1,0.16,0.1212,0.4,0.5224,47,49
198,1/9/11,1,0,1,12,0,0,0,1,0.18,0.1364,0.37,0.4478,79,83
199,1/9/11,1,0,1,13,0,0,0,1,0.2,0.1667,0.34,0.4478,69,75
200,1/9/11,1,0,1,14,0,0,0,1,0.22,0.1818,0.32,0.4627,64,72
201,1/9/11,1,0,1,15,0,0,0,1,0.22,0.197,0.35,0.3582,77,82
202,1/9/11,1,0,1,16,0,0,0,1,0.2,0.1667,0.34,0.4478,79,92
203,1/9/11,1,0,1,17,0,0,0,1,0.18,0.1515,0.37,0.3881,59,62
204,1/9/11,1,0,1,18,0,0,0,1,0.16,0.1364,0.4,0.3284,44,48
205,1/9/11,1,0,1,19,0,0,0,1,0.16,0.1364,0.43,0.3284,40,41
206,1/9/11,1,0,1,20,0,0,0,1,0.14,0.1212,0.46,0.2537,38,38
207,1/9/11,1,0,1,21,0,0,0,1,0.14,0.1061,0.46,0.4179,19,20
208,1/9/11,1,0,1,22,0,0,0,1,0.14,0.1212,0.46,0.2985,10,15
209,1/9/11,1,0,1,23,0,0,0,1,0.12,0.1364,0.5,0.194,6,6
210,1/10/11,1,0,1,0,0,1,1,1,0.12,0.1212,0.5,0.2836,3,5
211,1/10/11,1,0,1,1,0,1,1,1,0.12,0.1212,0.5,0.2836,0,1
212,1/10/11,1,0,1,2,0,1,1,1,0.12,0.1212,0.5,0.2239,3,3
213,1/10/11,1,0,1,3,0,1,1,1,0.12,0.1212,0.5,0.2239,1,1
214,1/10/11,1,0,1,4,0,1,1,1,0.1,0.1212,0.54,0.1343,2,3
215,1/10/11,1,0,1,5,0,1,1,1,0.1,0.1061,0.54,0.2537,3,3
216,1/10/11,1,0,1,6,0,1,1,1,0.12,0.1212,0.5,0.2836,31,31
217,1/10/11,1,0,1,7,0,1,1,1,0.12,0.1212,0.5,0.2239,75,77
218,1/10/11,1,0,1,8,0,1,1,2,0.12,0.1212,0.5,0.2836,184,188
219,1/10/11,1,0,1,9,0,1,1,2,0.14,0.1212,0.5,0.2537,92,94
220,1/10/11,1,0,1,10,0,1,1,2,0.14,0.1212,0.5,0.2985,31,31
221,1/10/11,1,0,1,11,0,1,1,2,0.16,0.1364,0.47,0.2836,28,30
222,1/10/11,1,0,1,12,0,1,1,2,0.2,0.1818,0.4,0.2836,47,52
223,1/10/11,1,0,1,13,0,1,1,2,0.2,0.1818,0.4,0.2836,50,54
224,1/10/11,1,0,1,14,0,1,1,2,0.2,0.197,0.4,0.2239,47,47
225,1/10/11,1,0,1,15,0,1,1,2,0.2,0.197,0.4,0.2239,43,45
226,1/10/11,1,0,1,16,0,1,1,1,0.2,0.2121,0.4,0.1343,70,74
227,1/10/11,1,0,1,17,0,1,1,1,0.2,0.2273,0.4,0.1045,174,178
228,1/10/11,1,0,1,18,0,1,1,1,0.2,0.197,0.4,0.2239,154,155
229,1/10/11,1,0,1,19,0,1,1,1,0.16,0.1667,0.47,0.1642,92,95
230,1/10/11,1,0,1,20,0,1,1,1,0.16,0.1667,0.5,0.1642,73,74
231,1/10/11,1,0,1,21,0,1,1,1,0.14,0.1364,0.59,0.194,37,38
232,1/10/11,1,0,1,22,0,1,1,1,0.14,0.1515,0.59,0.1642,22,24
233,1/10/11,1,0,1,23,0,1,1,1,0.14,0.1515,0.59,0.1642,18,18
234,1/11/11,1,0,1,0,0,2,1,1,0.14,0.1667,0.59,0.1045,10,12
235,1/11/11,1,0,1,1,0,2,1,1,0.14,0.1515,0.59,0.1642,3,3
236,1/11/11,1,0,1,2,0,2,1,2,0.16,0.1515,0.55,0.194,3,3
237,1/11/11,1,0,1,5,0,2,1,2,0.16,0.1818,0.55,0.1343,6,6
238,1/11/11,1,0,1,6,0,2,1,2,0.16,0.1818,0.55,0.1343,27,27
239,1/11/11,1,0,1,7,0,2,1,2,0.16,0.2273,0.55,0,97,99
240,1/11/11,1,0,1,8,0,2,1,2,0.18,0.2121,0.51,0.0896,214,217
241,1/11/11,1,0,1,9,0,2,1,2,0.18,0.197,0.51,0.1642,127,130
242,1/11/11,1,0,1,10,0,2,1,2,0.2,0.2121,0.51,0.1642,51,54
243,1/11/11,1,0,1,11,0,2,1,2,0.2,0.2121,0.47,0.1343,31,35
244,1/11/11,1,0,1,12,0,2,1,2,0.2,0.2273,0.51,0.1045,55,57
245,1/11/11,1,0,1,13,0,2,1,2,0.2,0.2273,0.59,0.0896,46,52
246,1/11/11,1,0,1,14,0,2,1,2,0.2,0.2273,0.59,0.0896,60,63
247,1/11/11,1,0,1,15,0,2,1,2,0.16,0.197,0.8,0.0896,45,47
248,1/11/11,1,0,1,16,0,2,1,2,0.16,0.1515,0.86,0.2239,72,76
249,1/11/11,1,0,1,17,0,2,1,2,0.16,0.1515,0.86,0.2239,130,136
250,1/11/11,1,0,1,18,0,2,1,3,0.16,0.1818,0.93,0.1045,94,95
251,1/11/11,1,0,1,19,0,2,1,3,0.16,0.2273,0.93,0,51,51
252,1/11/11,1,0,1,20,0,2,1,3,0.16,0.1515,0.93,0.194,32,32
253,1/11/11,1,0,1,21,0,2,1,3,0.16,0.197,0.86,0.0896,20,20
254,1/11/11,1,0,1,22,0,2,1,3,0.16,0.1818,0.93,0.1045,28,29
255,1/11/11,1,0,1,23,0,2,1,3,0.16,0.197,0.93,0.0896,18,19
256,1/12/11,1,0,1,0,0,3,1,2,0.16,0.197,0.86,0.0896,7,7
257,1/12/11,1,0,1,1,0,3,1,2,0.16,0.1818,0.86,0.1045,6,6
258,1/12/11,1,0,1,2,0,3,1,1,0.14,0.1515,0.86,0.1343,1,1
259,1/12/11,1,0,1,5,0,3,1,1,0.14,0.1515,0.86,0.1642,5,5
260,1/12/11,1,0,1,6,0,3,1,1,0.12,0.1515,0.93,0.1343,16,16
261,1/12/11,1,0,1,7,0,3,1,1,0.14,0.1515,0.69,0.1343,54,54
262,1/12/11,1,0,1,8,0,3,1,1,0.16,0.1667,0.59,0.1642,125,128
263,1/12/11,1,0,1,9,0,3,1,1,0.16,0.1364,0.59,0.3284,78,81
264,1/12/11,1,0,1,10,0,3,1,1,0.18,0.1818,0.55,0.2239,39,39
265,1/12/11,1,0,1,11,0,3,1,1,0.2,0.1818,0.51,0.3881,32,35
266,1/12/11,1,0,1,12,0,3,1,1,0.2,0.1515,0.47,0.5821,52,55
267,1/12/11,1,0,1,13,0,3,1,1,0.22,0.197,0.44,0.3582,49,49
268,1/12/11,1,0,1,14,0,3,1,1,0.2,0.1818,0.47,0.3284,44,44
269,1/12/11,1,0,1,15,0,3,1,1,0.2,0.1667,0.47,0.4179,48,49
270,1/12/11,1,0,1,16,0,3,1,1,0.22,0.197,0.44,0.3284,63,68
271,1/12/11,1,0,1,17,0,3,1,1,0.2,0.1818,0.47,0.3582,139,139
272,1/12/11,1,0,1,18,0,3,1,1,0.2,0.1515,0.47,0.5224,135,137
273,1/12/11,1,0,1,19,0,3,1,1,0.18,0.1515,0.47,0.4179,82,83
274,1/12/11,1,0,1,20,0,3,1,1,0.16,0.1364,0.5,0.3284,54,56
275,1/12/11,1,0,1,21,0,3,1,1,0.16,0.1364,0.55,0.3284,57,57
276,1/12/11,1,0,1,22,0,3,1,1,0.16,0.1212,0.55,0.4478,32,33
277,1/12/11,1,0,1,23,0,3,1,1,0.14,0.1061,0.59,0.4179,19,20
278,1/13/11,1,0,1,0,0,4,1,1,0.14,0.1212,0.59,0.2836,6,7
279,1/13/11,1,0,1,1,0,4,1,1,0.14,0.1212,0.5,0.2836,2,2
280,1/13/11,1,0,1,2,0,4,1,1,0.14,0.1212,0.5,0.3582,2,2
281,1/13/11,1,0,1,3,0,4,1,1,0.14,0.1212,0.5,0.3284,3,3
282,1/13/11,1,0,1,4,0,4,1,1,0.14,0.1212,0.5,0.2537,4,4
283,1/13/11,1,0,1,5,0,4,1,1,0.14,0.1212,0.5,0.2985,3,3
284,1/13/11,1,0,1,6,0,4,1,1,0.12,0.1515,0.54,0.1343,28,28
285,1/13/11,1,0,1,7,0,4,1,1,0.12,0.1515,0.54,0.1343,72,72
286,1/13/11,1,0,1,8,0,4,1,1,0.14,0.1364,0.5,0.194,197,202
287,1/13/11,1,0,1,9,0,4,1,1,0.14,0.1212,0.5,0.3284,137,139
288,1/13/11,1,0,1,10,0,4,1,2,0.16,0.1364,0.5,0.3582,36,38
289,1/13/11,1,0,1,11,0,4,1,2,0.2,0.1667,0.44,0.4478,33,37
290,1/13/11,1,0,1,12,0,4,1,1,0.2,0.1667,0.44,0.4179,49,52
291,1/13/11,1,0,1,13,0,4,1,1,0.22,0.197,0.41,0.4478,81,83
292,1/13/11,1,0,1,14,0,4,1,1,0.22,0.197,0.41,0.3881,39,42
293,1/13/11,1,0,1,15,0,4,1,1,0.24,0.2121,0.38,0.2985,55,60
294,1/13/11,1,0,1,16,0,4,1,1,0.24,0.2121,0.38,0.3582,76,78
295,1/13/11,1,0,1,17,0,4,1,1,0.2,0.1818,0.4,0.2836,158,162
296,1/13/11,1,0,1,18,0,4,1,1,0.2,0.1818,0.4,0.3284,141,144
297,1/13/11,1,0,1,19,0,4,1,1,0.16,0.1515,0.47,0.2537,98,99
298,1/13/11,1,0,1,20,0,4,1,1,0.16,0.1515,0.47,0.2239,64,64
299,1/13/11,1,0,1,21,0,4,1,1,0.14,0.1212,0.46,0.2985,40,40
300,1/13/11,1,0,1,22,0,4,1,1,0.14,0.1212,0.46,0.3284,30,30
301,1/13/11,1,0,1,23,0,4,1,1,0.12,0.1364,0.5,0.194,14,15
302,1/14/11,1,0,1,0,0,5,1,1,0.12,0.1364,0.5,0.194,14,14
303,1/14/11,1,0,1,1,0,5,1,1,0.1,0.1212,0.54,0.1642,5,5
304,1/14/11,1,0,1,2,0,5,1,1,0.1,0.1212,0.54,0.1343,1,1
305,1/14/11,1,0,1,3,0,5,1,1,0.1,0.1364,0.54,0.1045,1,1
